Card_id,Ssn,Bname,Address,Phone
ID000099,595-38-3883,pamela matthews,"2 Green Lane, Dallas, TX",(214) 944-0666
ID000100,808-44-7643,jason campbell,"6 Raven Court, Dallas, TX",(972) 811-4885
ID000101,924-16-0243,joyce fuller,"45900 Iowa Way, Dallas, TX",(469) 906-3524
ID000102,348-53-9608,andrea bailey,"33 Cardinal Alley, Richardson, TX",(972) 846-5566
ID000103,379-16-0722,denise perry,"68 Old Shore Lane, Dallas, TX",(214) 991-3418
ID000104,997-92-4787,michael jacobs,"0 Brentwood Place, Richardson, TX",(469) 924-9727
ID000105,664-95-5489,catherine reid,"41544 Anniversary Crossing, Plano, TX",(214) 948-8236
ID000106,424-12-2851,aaron romero,"844 Union Way, Dallas, TX",(972) 535-5154
ID000107,295-19-3279,john warren,"9127 Farragut Center, Dallas, TX",(469) 923-5725
ID000108,806-92-2733,steve garrett,"729 Kenwood Court, Richardson, TX",(214) 703-1311
ID000109,466-92-6624,jimmy ellis,"8 Nevada Place, Dallas, TX",(972) 742-8738
ID000110,454-64-8101,jose perez,"4463 Commercial Circle, Richardson, TX",(469) 852-3133
ID000111,909-18-6864,katherine dean,"4978 Cordelia Way, Dallas, TX",(972) 886-7232
ID000112,203-54-9198,ashley jackson,"676 David Road, Dallas, TX",(469) 976-0450
ID000113,177-45-8737,kathryn hart,"29 Dexter Circle, Dallas, TX",(972) 900-3590
ID000114,279-96-6074,dennis ruiz,"18784 Browning Circle, Dallas, TX",(972) 974-1505
ID000115,561-91-3511,sharon cox,"4 Hoffman Street, Dallas, TX",(214) 915-0820
ID000116,325-12-4236,ruby burke,"5 Swallow Avenue, Dallas, TX",(972) 928-8965
ID000117,537-25-0563,jerry stewart,"54494 Kenwood Trail, Dallas, TX",(469) 817-5662
ID000118,508-36-5238,howard fisher,"2 Reinke Lane, Plano, TX",(972) 325-6683
ID000119,663-89-7131,eric phillips,"578 Westend Pass, Dallas, TX",(972) 893-0831
ID000120,582-89-0521,albert cruz,"04 Shopko Way, Dallas, TX",(972) 471-4420
ID000121,112-24-4907,timothy harrison,"04099 Anhalt Place, Dallas, TX",(214) 849-7879
ID000122,593-24-8597,ronald phillips,"4632 Brentwood Hill, Dallas, TX",(469) 945-4638
ID000123,152-06-9743,antonio bishop,"212 Memorial Lane, Richardson, TX",(469) 835-8047
ID000124,917-73-0651,howard green,"9 Florence Trail, Dallas, TX",(214) 875-8195
ID000125,550-66-4068,willie murphy,"09 Loeprich Parkway, Richardson, TX",(214) 954-5495
ID000126,151-32-0622,christine washington,"95086 Eliot Alley, Dallas, TX",(469) 844-5383
ID000127,363-52-9311,angela ellis,"61 Chinook Avenue, Dallas, TX",(469) 912-7557
ID000128,498-97-9543,kathy wagner,"1 Columbus Crossing, Plano, TX",(214) 958-2980
ID000129,109-59-3700,antonio carr,"6996 Arizona Avenue, Dallas, TX",(469) 724-0803
ID000130,919-11-7074,samuel ellis,"69968 Meadow Ridge Alley, Dallas, TX",(469) 957-8249
ID000131,532-19-3189,bruce williamson,"51 Maywood Place, Richardson, TX",(214) 969-6651
ID000132,186-61-2257,ruby mcdonald,"031 Ohio Lane, Dallas, TX",(214) 970-5621
ID000133,758-82-0981,jack larson,"43086 Dexter Way, Dallas, TX",(469) 913-6292
ID000134,789-85-0156,tammy hunter,"08 Marquette Pass, Dallas, TX",(214) 919-0495
ID000135,144-61-2857,mildred richards,"6863 Warbler Crossing, Dallas, TX",(469) 636-7310
ID000136,812-34-4775,janet dixon,"1 Ridgeway Terrace, Dallas, TX",(972) 381-9665
ID000137,605-13-5959,antonio hamilton,"2545 Lerdahl Center, Dallas, TX",(214) 886-6681
ID000138,873-83-1740,louise jordan,"7326 Reindahl Point, Dallas, TX",(972) 518-9421
ID000139,992-25-4077,linda hunt,"710 Lighthouse Bay Point, Dallas, TX",(972) 754-7045
ID000140,222-46-0064,joan webb,"90 Bashford Avenue, Dallas, TX",(469) 955-0632
ID000141,135-71-1523,kevin frazier,"47 Bluejay Hill, Dallas, TX",(972) 965-3683
ID000142,490-88-8407,todd schmidt,"4 Lakeland Pass, Dallas, TX",(214) 903-6828
ID000143,797-95-4607,andrea sims,"898 Killdeer Pass, Dallas, TX",(469) 988-0761
ID000144,959-24-3477,barbara brooks,"305 Mendota Plaza, Dallas, TX",(469) 958-8251
ID000145,600-79-0040,kenneth anderson,"246 Shopko Drive, Richardson, TX",(972) 998-5406
ID000146,704-59-6830,jessica knight,"36 Forest Park, Richardson, TX",(469) 961-0488
ID000147,542-87-9344,dorothy adams,"2483 Melody Plaza, Richardson, TX",(972) 881-8472
ID000148,634-80-8812,phillip adams,"4 Derek Point, Dallas, TX",(972) 918-0335
ID000149,599-72-6050,james carpenter,"6668 Ilene Court, Dallas, TX",(214) 820-8276
ID000150,751-57-0699,amy lopez,"715 Westend Avenue, Dallas, TX",(469) 830-1019
ID000151,570-71-9526,frank gomez,"61280 Mallory Parkway, Plano, TX",(214) 962-2973
ID000152,585-65-8864,debra rogers,"4 Southridge Place, Richardson, TX",(469) 753-7894
ID000153,784-42-3645,aaron chapman,"840 Messerschmidt Plaza, Dallas, TX",(972) 753-3651
ID000154,327-00-2811,jerry cruz,"48314 Muir Crossing, Dallas, TX",(214) 973-8302
ID000155,209-64-5805,gerald mccoy,"71113 Corry Circle, Plano, TX",(469) 758-3820
ID000156,352-52-5321,matthew ward,"3726 Oneill Terrace, Plano, TX",(972) 668-2488
ID000157,312-33-6562,marilyn andrews,"61664 Warrior Street, Dallas, TX",(972) 831-4215
ID000158,585-35-8539,lawrence coleman,"0 Scoville Plaza, Plano, TX",(469) 987-3187
ID000159,766-72-6736,sarah burton,"65230 Prairie Rose Point, Plano, TX",(972) 736-0106
ID000160,519-22-1664,gerald white,"82 Delaware Plaza, Plano, TX",(214) 774-5757
ID000161,811-23-2706,shawn robertson,"9 Troy Alley, Dallas, TX",(214) 943-9366
ID000162,983-17-1073,samuel arnold,"1748 Monterey Road, Dallas, TX",(469) 741-5231
ID000163,153-09-5087,ruby mcdonald,"00621 Killdeer Crossing, Dallas, TX",(469) 941-5043
ID000164,208-16-2580,lillian kim,"47585 Nova Drive, Dallas, TX",(214) 740-2312
ID000165,604-54-4201,pamela bradley,"2 Lakewood Gardens Place, Richardson, TX",(469) 871-3326
ID000166,764-51-2571,ralph chavez,"15739 Vera Plaza, Dallas, TX",(214) 598-5319
ID000167,102-72-1991,martin richards,"8 New Castle Trail, Dallas, TX",(469) 976-0263
ID000168,743-82-1324,chris simmons,"46833 Farmco Junction, Dallas, TX",(469) 810-0333
ID000169,915-27-6165,martin stevens,"573 Oneill Hill, Dallas, TX",(469) 570-2393
ID000170,615-68-8488,lisa west,"55586 Ronald Regan Lane, Dallas, TX",(972) 998-4345
ID000171,538-66-1965,daniel marshall,"3 Manitowish Crossing, Dallas, TX",(469) 730-4725
ID000172,981-95-3778,john hicks,"81 Northfield Place, Richardson, TX",(972) 727-1591
ID000173,802-73-6786,roger harrison,"9 Meadow Vale Drive, Dallas, TX",(469) 941-5954
ID000174,777-08-7277,teresa thompson,"06364 Gerald Street, Dallas, TX",(972) 670-1547
ID000175,445-90-2407,arthur freeman,"51652 Russell Street, Dallas, TX",(469) 994-4509
ID000176,909-02-3006,howard simpson,"95 Redwing Lane, Dallas, TX",(972) 910-0392
ID000177,790-10-1835,christopher spencer,"6 Northfield Crossing, Dallas, TX",(214) 821-9650
ID000178,847-64-1856,theresa wood,"0420 Westport Circle, Dallas, TX",(469) 994-1901
ID000179,930-97-8594,lillian wright,"82972 Raven Road, Dallas, TX",(972) 960-5502
ID000180,823-59-4050,sara rogers,"7 Twin Pines Circle, Dallas, TX",(214) 984-5323
ID000181,831-37-2302,linda richards,"046 Harper Center, Dallas, TX",(214) 998-2489
ID000182,139-70-8042,albert cunningham,"414 Summer Ridge Trail, Richardson, TX",(972) 716-3924
ID000183,611-16-9228,debra holmes,"22 Bluejay Road, Plano, TX",(972) 954-8773
ID000184,248-33-5177,jason davis,"82931 Cardinal Junction, Dallas, TX",(214) 969-9787
ID000185,399-38-8513,justin fowler,"1958 Leroy Way, Dallas, TX",(972) 915-2410
ID000186,515-58-4650,catherine harris,"4091 Doe Crossing Alley, Plano, TX",(469) 968-7984
ID000187,911-94-6409,gary reyes,"06 Shelley Parkway, Dallas, TX",(972) 985-2014
ID000188,952-37-2293,clarence harvey,"637 Blackbird Crossing, Dallas, TX",(972) 735-8046
ID000189,866-26-3470,kathleen lynch,"0 Northview Center, Dallas, TX",(469) 858-9821
ID000190,696-87-1283,angela myers,"07 Jenifer Point, Plano, TX",(214) 996-3258
ID000191,525-30-0056,paula roberts,"2025 Annamark Court, Richardson, TX",(214) 919-1512
ID000192,455-25-1300,marie hudson,"35523 Fulton Point, Richardson, TX",(972) 955-0047
ID000193,300-83-3012,victor george,"16 Butterfield Place, Plano, TX",(469) 982-0024
ID000194,568-53-7223,judith lane,"59463 Havey Center, Dallas, TX",(469) 962-1701
ID000195,219-13-1583,steven carpenter,"64 Rutledge Court, Richardson, TX",(972) 759-2760
ID000196,628-41-9882,beverly welch,"0 7th Point, Richardson, TX",(214) 758-2027
ID000197,553-83-0248,chris cox,"386 Coleman Avenue, Richardson, TX",(214) 902-1149
ID000198,664-42-3811,heather duncan,"3 Acker Avenue, Richardson, TX",(972) 906-2444
ID000199,932-05-2280,helen cooper,"90887 Ohio Trail, Dallas, TX",(214) 723-9307
ID000200,359-15-6568,linda dixon,"0506 Boyd Plaza, Richardson, TX",(214) 940-0096
ID000201,377-03-6374,eric wood,"730 Bonner Hill, Dallas, TX",(972) 959-7132
ID000202,956-77-5994,brenda brooks,"4 Pennsylvania Hill, Dallas, TX",(972) 960-5440
ID000203,262-72-9956,fred crawford,"00 Mariners Cove Terrace, Dallas, TX",(972) 978-1543
ID000204,935-26-1044,alan morris,"2238 Debra Center, Dallas, TX",(469) 701-3591
ID000205,575-57-3479,jimmy watkins,"91873 Colorado Crossing, Dallas, TX",(469) 933-3579
ID000206,534-35-2839,keith fisher,"2 Muir Crossing, Richardson, TX",(972) 999-1883
ID000207,487-48-3434,rose oliver,"3152 Thackeray Point, Dallas, TX",(214) 971-9384
ID000208,282-19-5051,johnny vasquez,"809 Grover Circle, Dallas, TX",(972) 843-5554
ID000209,198-52-6239,judith dunn,"337 Northview Point, Dallas, TX",(972) 999-1156
ID000210,165-45-3343,roger freeman,"13 Farmco Way, Dallas, TX",(469) 854-9842
ID000211,983-87-0005,richard bailey,"3108 Browning Park, Richardson, TX",(214) 718-0392
ID000212,387-20-1613,ernest palmer,"66600 Pleasure Drive, Dallas, TX",(214) 238-1120
ID000213,440-22-0860,janice long,"26577 Laurel Road, Dallas, TX",(214) 972-0889
ID000214,589-60-2564,thomas schmidt,"0 New Castle Crossing, Plano, TX",(469) 745-9014
ID000215,564-07-7138,kathryn hayes,"18504 Basil Hill, Dallas, TX",(469) 831-7793
ID000216,106-58-8800,chris perkins,"14865 John Wall Center, Plano, TX",(972) 957-3368
ID000217,664-12-8122,thomas scott,"449 Schurz Parkway, Dallas, TX",(469) 914-5396
ID000218,394-69-4479,judy richards,"9420 Main Hill, Dallas, TX",(469) 871-8324
ID000219,977-89-1063,janice garrett,"2998 Chive Place, Dallas, TX",(214) 809-6943
ID000220,720-12-0662,raymond peterson,"892 Fairfield Point, Richardson, TX",(469) 947-5199
ID000221,344-03-8015,marilyn williams,"0 John Wall Circle, Dallas, TX",(214) 992-8183
ID000222,166-80-9145,teresa reid,"9224 Manufacturers Terrace, Dallas, TX",(972) 457-6436
ID000223,628-54-4529,irene medina,"51 Southridge Pass, Dallas, TX",(972) 994-3852
ID000224,763-92-5219,linda carpenter,"43 Dovetail Road, Dallas, TX",(972) 866-8440
ID000225,468-30-6717,jonathan harrison,"113 Havey Crossing, Plano, TX",(469) 900-2769
ID000226,716-63-5871,laura graham,"72346 Emmet Place, Dallas, TX",(469) 892-4249
ID000227,462-64-8746,sharon pierce,"9 Clove Trail, Dallas, TX",(972) 930-5410
ID000228,890-27-4530,katherine boyd,"90 Park Meadow Junction, Dallas, TX",(214) 652-5153
ID000229,875-97-7822,brian perkins,"5988 Havey Street, Dallas, TX",(972) 973-2502
ID000230,867-84-8327,eric cooper,"7 Granby Road, Dallas, TX",(972) 970-2642
ID000231,907-94-1254,randy stanley,"94552 Linden Court, Dallas, TX",(972) 815-8835
ID000232,319-59-2633,pamela gutierrez,"50236 Goodland Lane, Plano, TX",(972) 968-2569
ID000233,145-92-8000,keith perkins,"9543 Farragut Road, Richardson, TX",(214) 804-0599
ID000234,361-70-3782,scott spencer,"5 Lukken Junction, Dallas, TX",(214) 701-4621
ID000235,992-96-4866,todd bryant,"418 Onsgard Hill, Dallas, TX",(214) 980-7359
ID000236,916-54-8159,jose anderson,"2705 Ohio Junction, Dallas, TX",(214) 530-2752
ID000237,133-83-4824,amanda davis,"1636 Norway Maple Place, Plano, TX",(469) 913-5733
ID000238,712-12-8661,richard cruz,"69 Marquette Park, Richardson, TX",(469) 902-7741
ID000239,325-77-2883,sara walker,"18924 3rd Circle, Dallas, TX",(972) 932-7544
ID000240,974-70-9717,gloria sanders,"36961 Green Ridge Place, Dallas, TX",(214) 937-3306
ID000241,584-04-3187,jonathan harris,"286 Merry Way, Dallas, TX",(469) 873-4473
ID000242,152-31-3951,juan fields,"291 Marquette Parkway, Richardson, TX",(972) 916-7303
ID000243,950-88-3244,wanda mills,"79024 Surrey Way, Dallas, TX",(469) 920-6298
ID000244,315-12-0643,karen davis,"83 Holy Cross Drive, Dallas, TX",(972) 890-5755
ID000245,328-21-2988,scott montgomery,"96247 Oriole Circle, Dallas, TX",(972) 929-5312
ID000246,752-03-8294,michael stevens,"356 Shoshone Drive, Dallas, TX",(469) 803-5017
ID000247,223-10-5941,andrea baker,"90 Heath Drive, Dallas, TX",(469) 930-1109
ID000248,383-36-2902,marilyn alexander,"443 Dottie Circle, Dallas, TX",(972) 406-2617
ID000249,556-96-7003,harry alvarez,"636 Express Way, Dallas, TX",(214) 954-5716
ID000250,760-25-1865,rose peterson,"034 Shelley Drive, Dallas, TX",(972) 861-4171
ID000251,196-06-0978,barbara garcia,"5690 Acker Road, Dallas, TX",(469) 517-8843
ID000252,140-56-2974,ann berry,"37940 Morning Hill, Dallas, TX",(972) 918-7984
ID000253,493-92-4232,paul turner,"75287 Pleasure Place, Dallas, TX",(972) 782-6768
ID000254,353-18-9662,theresa day,"9 American Ash Crossing, Dallas, TX",(972) 909-4722
ID000255,926-42-8995,andrew gilbert,"8 American Parkway, Dallas, TX",(972) 834-2804
ID000256,741-11-7814,alice turner,"4 Namekagon Lane, Dallas, TX",(214) 660-6741
ID000257,700-23-8477,julie smith,"61345 Namekagon Place, Dallas, TX",(469) 861-2346
ID000258,390-30-8158,alice carr,"7564 Ohio Plaza, Dallas, TX",(214) 549-1687
ID000259,941-05-7192,harry baker,"7 Straubel Center, Plano, TX",(469) 590-5412
ID000260,949-37-6371,donna cooper,"1629 Summer Ridge Plaza, Dallas, TX",(469) 957-3027
ID000261,947-04-7262,laura rogers,"7776 Summer Ridge Court, Dallas, TX",(972) 730-7675
ID000262,443-61-5562,jessica hicks,"17138 Ryan Circle, Dallas, TX",(469) 815-6162
ID000263,428-09-7397,george turner,"4 Quincy Pass, Richardson, TX",(214) 958-2175
ID000264,354-53-8826,joan watkins,"9601 Lerdahl Pass, Plano, TX",(214) 814-9170
ID000265,757-21-3141,andrea gonzalez,"127 Russell Hill, Dallas, TX",(972) 809-5959
ID000266,924-17-9942,billy little,"46 Autumn Leaf Junction, Dallas, TX",(972) 986-6001
ID000267,778-68-6617,teresa marshall,"2 Sheridan Trail, Dallas, TX",(469) 884-2394
ID000268,431-20-0144,benjamin lynch,"53 Tennyson Park, Dallas, TX",(469) 877-9851
ID000269,851-35-0300,nancy dixon,"4 Dwight Street, Dallas, TX",(972) 770-3641
ID000270,583-40-6101,jean dunn,"4 North Street, Dallas, TX",(469) 995-6149
ID000271,125-98-5061,anthony gardner,"9823 Donald Terrace, Dallas, TX",(972) 432-3180
ID000272,750-84-1386,benjamin morrison,"21 Oriole Terrace, Dallas, TX",(214) 409-6322
ID000273,319-09-3742,anne dixon,"9579 Browning Crossing, Dallas, TX",(972) 907-6080
ID000274,585-90-0674,denise wallace,"6021 Portage Park, Dallas, TX",(972) 940-4355
ID000275,416-38-3510,linda owens,"13 Monterey Alley, Richardson, TX",(214) 836-3577
ID000276,614-68-5656,larry warren,"2657 Mitchell Hill, Plano, TX",(972) 938-7212
ID000277,984-48-8111,edward hunt,"6 Claremont Avenue, Dallas, TX",(972) 763-1900
ID000278,446-20-4077,harry mcdonald,"22283 Farragut Place, Plano, TX",(214) 873-3156
ID000279,154-67-1759,lawrence wells,"841 Delaware Place, Dallas, TX",(214) 976-7034
ID000280,218-70-1729,martin fuller,"53309 Buhler Place, Dallas, TX",(469) 667-3361
ID000281,685-99-2971,roger ellis,"74213 Charing Cross Circle, Dallas, TX",(972) 976-7863
ID000282,551-99-0871,patrick moreno,"490 Rockefeller Lane, Dallas, TX",(972) 955-5269
ID000283,156-64-6797,andrew cole,"30 Sunfield Pass, Plano, TX",(214) 879-7342
ID000284,704-85-7803,joan hudson,"4 Everett Court, Dallas, TX",(214) 954-1417
ID000285,491-79-6292,chris powell,"4 Jenifer Circle, Dallas, TX",(469) 726-7925
ID000286,164-90-8064,anna perez,"1241 Graceland Court, Dallas, TX",(469) 996-2325
ID000287,857-94-0950,debra gray,"251 Monterey Hill, Dallas, TX",(469) 973-4499
ID000288,581-46-2753,annie shaw,"561 Cody Crossing, Plano, TX",(214) 764-1587
ID000289,300-46-8310,shawn martinez,"19 Lunder Park, Dallas, TX",(469) 986-4161
ID000290,691-97-1438,mary graham,"701 Cordelia Court, Dallas, TX",(214) 687-0840
ID000291,239-90-4011,janet west,"2308 Division Center, Dallas, TX",(214) 978-0541
ID000292,702-60-4201,aaron arnold,"5886 Banding Trail, Dallas, TX",(214) 955-5863
ID000293,253-17-0796,justin brown,"611 Green Plaza, Plano, TX",(214) 901-6023
ID000294,547-06-9057,george torres,"64206 Calypso Hill, Dallas, TX",(972) 925-4199
ID000295,722-28-9325,brian romero,"4418 Green Ridge Terrace, Dallas, TX",(469) 825-9159
ID000296,488-01-1020,lawrence morris,"42 Magdeline Pass, Dallas, TX",(214) 942-2979
ID000297,947-93-9771,patrick garcia,"1 Nevada Parkway, Dallas, TX",(469) 827-6118
ID000298,708-32-6866,ashley moreno,"067 Morning Park, Dallas, TX",(469) 869-6226
ID000299,421-79-0842,aaron ellis,"1925 Grasskamp Alley, Dallas, TX",(469) 937-9272
